1.

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
Jonathon Taylor                                        80        220 NOC                                   1700
Jack Livingston                                        80        220 NOC                                   1700
Kimberely Grant                                                  220 NOC                                   1700
Charles Johnson                                        80        220 NOC                                   1700
Winston Taylor                                         50        220 NOC                                   1700
Jean Fleaur                                            50        220 NOC                                   1700
Martha Sullivan                                        50        220 NOC                                   1700
Girard Geoni                                           50        220 NOC                                   1700
Nandita Sarchand                                       50        220 NOC                                   1700
Alexis Bull                                            50        220 NOC                                   1700
Julia Dellinger                                        50        220 NOC                                   1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Anthony Cabrio                                         50        220 NOC                                   1700
Kelly Chung                                            50        220 NOC                                   1700
Jennifer Dilly                                         50        220 NOC                                   1700
Timothy Gates                                          50        220 NOC                                   1700
Randall Perkins                                        50        220 NOC                                   1700
Sarah Bell                                             50        220 NOC                                   1700
Britney Everett                                        50        220 NOC                                   1700
Samuel McCain                                          50        220 NOC                                   1700
Vance Jones                                            50        220 NOC                                   1700
Alana Walsh                                            50        220 NOC                                   1700
Kevin Feeney                                           50        220 NOC                                   1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Donald OConnell                                        50        230 IT Helpdesk                           1700
Douglas Grant                                          50        230 IT Helpdesk                           1700
Jennifer Whalen                                        10        230 IT Helpdesk                           1700
Michael Hartstein                                      20        230 IT Helpdesk                           1700
Pat Fay                                                20        230 IT Helpdesk                           1700
Susan Mavris                                           40        230 IT Helpdesk                           1700
Hermann Baer                                           70        230 IT Helpdesk                           1700
Shelley Higgins                                       110        230 IT Helpdesk                           1700
William Gietz                                         110        230 IT Helpdesk                           1700
Steven King                                            90        230 IT Helpdesk                           1700
Neena Kochhar                                          90        230 IT Helpdesk                           1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Lex De Haan                                            90        230 IT Helpdesk                           1700
Alexander Hunold                                       60        230 IT Helpdesk                           1700
Bruce Ernst                                            60        230 IT Helpdesk                           1700
David Austin                                           60        230 IT Helpdesk                           1700
Valli Pataballa                                        60        230 IT Helpdesk                           1700
Diana Lorentz                                          60        230 IT Helpdesk                           1700
Nancy Greenberg                                       100        230 IT Helpdesk                           1700
Daniel Faviet                                         100        230 IT Helpdesk                           1700
John Chen                                             100        230 IT Helpdesk                           1700
Ismael Sciarra                                        100        230 IT Helpdesk                           1700
Jose Manuel Urman                                     100        230 IT Helpdesk                           1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Luis Popp                                             100        230 IT Helpdesk                           1700
Den Raphaely                                           30        230 IT Helpdesk                           1700
Alexander Khoo                                         30        230 IT Helpdesk                           1700
Shelli Baida                                           30        230 IT Helpdesk                           1700
Sigal Tobias                                           30        230 IT Helpdesk                           1700
Guy Himuro                                             30        230 IT Helpdesk                           1700
Karen Colmenares                                       30        230 IT Helpdesk                           1700
Matthew Weiss                                          50        230 IT Helpdesk                           1700
Adam Fripp                                             50        230 IT Helpdesk                           1700
Payam Kaufling                                         50        230 IT Helpdesk                           1700
Shanta Vollman                                         50        230 IT Helpdesk                           1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Kevin Mourgos                                          50        230 IT Helpdesk                           1700
Julia Nayer                                            50        230 IT Helpdesk                           1700
Irene Mikkilineni                                      50        230 IT Helpdesk                           1700
James Landry                                           50        230 IT Helpdesk                           1700
Steven Markle                                          50        230 IT Helpdesk                           1700
Laura Bissot                                           50        230 IT Helpdesk                           1700
Mozhe Atkinson                                         50        230 IT Helpdesk                           1700
James Marlow                                           50        230 IT Helpdesk                           1700
TJ Olson                                               50        230 IT Helpdesk                           1700
Jason Mallin                                           50        230 IT Helpdesk                           1700
Michael Rogers                                         50        230 IT Helpdesk                           1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Ki Gee                                                 50        230 IT Helpdesk                           1700
Hazel Philtanker                                       50        230 IT Helpdesk                           1700
Renske Ladwig                                          50        230 IT Helpdesk                           1700
Stephen Stiles                                         50        230 IT Helpdesk                           1700
John Seo                                               50        230 IT Helpdesk                           1700
Joshua Patel                                           50        230 IT Helpdesk                           1700
Trenna Rajs                                            50        230 IT Helpdesk                           1700
Curtis Davies                                          50        230 IT Helpdesk                           1700
Randall Matos                                          50        230 IT Helpdesk                           1700
Peter Vargas                                           50        230 IT Helpdesk                           1700
John Russell                                           80        230 IT Helpdesk                           1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Karen Partners                                         80        230 IT Helpdesk                           1700
Alberto Errazuriz                                      80        230 IT Helpdesk                           1700
Gerald Cambrault                                       80        230 IT Helpdesk                           1700
Eleni Zlotkey                                          80        230 IT Helpdesk                           1700
Peter Tucker                                           80        230 IT Helpdesk                           1700
David Bernstein                                        80        230 IT Helpdesk                           1700
Peter Hall                                             80        230 IT Helpdesk                           1700
Christopher Olsen                                      80        230 IT Helpdesk                           1700
Nanette Cambrault                                      80        230 IT Helpdesk                           1700
Oliver Tuvault                                         80        230 IT Helpdesk                           1700
Janette King                                           80        230 IT Helpdesk                           1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Patrick Sully                                          80        230 IT Helpdesk                           1700
Allan McEwen                                           80        230 IT Helpdesk                           1700
Lindsey Smith                                          80        230 IT Helpdesk                           1700
Louise Doran                                           80        230 IT Helpdesk                           1700
Sarath Sewall                                          80        230 IT Helpdesk                           1700
Clara Vishney                                          80        230 IT Helpdesk                           1700
Danielle Greene                                        80        230 IT Helpdesk                           1700
Mattea Marvins                                         80        230 IT Helpdesk                           1700
David Lee                                              80        230 IT Helpdesk                           1700
Sundar Ande                                            80        230 IT Helpdesk                           1700
Amit Banda                                             80        230 IT Helpdesk                           1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Lisa Ozer                                              80        230 IT Helpdesk                           1700
Harrison Bloom                                         80        230 IT Helpdesk                           1700
Tayler Fox                                             80        230 IT Helpdesk                           1700
William Smith                                          80        230 IT Helpdesk                           1700
Elizabeth Bates                                        80        230 IT Helpdesk                           1700
Sundita Kumar                                          80        230 IT Helpdesk                           1700
Ellen Abel                                             80        230 IT Helpdesk                           1700
Alyssa Hutton                                          80        230 IT Helpdesk                           1700
Jonathon Taylor                                        80        230 IT Helpdesk                           1700
Jack Livingston                                        80        230 IT Helpdesk                           1700
Kimberely Grant                                                  230 IT Helpdesk                           1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Charles Johnson                                        80        230 IT Helpdesk                           1700
Winston Taylor                                         50        230 IT Helpdesk                           1700
Jean Fleaur                                            50        230 IT Helpdesk                           1700
Martha Sullivan                                        50        230 IT Helpdesk                           1700
Girard Geoni                                           50        230 IT Helpdesk                           1700
Nandita Sarchand                                       50        230 IT Helpdesk                           1700
Alexis Bull                                            50        230 IT Helpdesk                           1700
Julia Dellinger                                        50        230 IT Helpdesk                           1700
Anthony Cabrio                                         50        230 IT Helpdesk                           1700
Kelly Chung                                            50        230 IT Helpdesk                           1700
Jennifer Dilly                                         50        230 IT Helpdesk                           1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Timothy Gates                                          50        230 IT Helpdesk                           1700
Randall Perkins                                        50        230 IT Helpdesk                           1700
Sarah Bell                                             50        230 IT Helpdesk                           1700
Britney Everett                                        50        230 IT Helpdesk                           1700
Samuel McCain                                          50        230 IT Helpdesk                           1700
Vance Jones                                            50        230 IT Helpdesk                           1700
Alana Walsh                                            50        230 IT Helpdesk                           1700
Kevin Feeney                                           50        230 IT Helpdesk                           1700
Donald OConnell                                        50        240 Government Sales                      1700
Douglas Grant                                          50        240 Government Sales                      1700
Jennifer Whalen                                        10        240 Government Sales                      1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Michael Hartstein                                      20        240 Government Sales                      1700
Pat Fay                                                20        240 Government Sales                      1700
Susan Mavris                                           40        240 Government Sales                      1700
Hermann Baer                                           70        240 Government Sales                      1700
Shelley Higgins                                       110        240 Government Sales                      1700
William Gietz                                         110        240 Government Sales                      1700
Steven King                                            90        240 Government Sales                      1700
Neena Kochhar                                          90        240 Government Sales                      1700
Lex De Haan                                            90        240 Government Sales                      1700
Alexander Hunold                                       60        240 Government Sales                      1700
Bruce Ernst                                            60        240 Government Sales                      1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
David Austin                                           60        240 Government Sales                      1700
Valli Pataballa                                        60        240 Government Sales                      1700
Diana Lorentz                                          60        240 Government Sales                      1700
Nancy Greenberg                                       100        240 Government Sales                      1700
Daniel Faviet                                         100        240 Government Sales                      1700
John Chen                                             100        240 Government Sales                      1700
Ismael Sciarra                                        100        240 Government Sales                      1700
Jose Manuel Urman                                     100        240 Government Sales                      1700
Luis Popp                                             100        240 Government Sales                      1700
Den Raphaely                                           30        240 Government Sales                      1700
Alexander Khoo                                         30        240 Government Sales                      1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Shelli Baida                                           30        240 Government Sales                      1700
Sigal Tobias                                           30        240 Government Sales                      1700
Guy Himuro                                             30        240 Government Sales                      1700
Karen Colmenares                                       30        240 Government Sales                      1700
Matthew Weiss                                          50        240 Government Sales                      1700
Adam Fripp                                             50        240 Government Sales                      1700
Payam Kaufling                                         50        240 Government Sales                      1700
Shanta Vollman                                         50        240 Government Sales                      1700
Kevin Mourgos                                          50        240 Government Sales                      1700
Julia Nayer                                            50        240 Government Sales                      1700
Irene Mikkilineni                                      50        240 Government Sales                      1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
James Landry                                           50        240 Government Sales                      1700
Steven Markle                                          50        240 Government Sales                      1700
Laura Bissot                                           50        240 Government Sales                      1700
Mozhe Atkinson                                         50        240 Government Sales                      1700
James Marlow                                           50        240 Government Sales                      1700
TJ Olson                                               50        240 Government Sales                      1700
Jason Mallin                                           50        240 Government Sales                      1700
Michael Rogers                                         50        240 Government Sales                      1700
Ki Gee                                                 50        240 Government Sales                      1700
Hazel Philtanker                                       50        240 Government Sales                      1700
Renske Ladwig                                          50        240 Government Sales                      1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Stephen Stiles                                         50        240 Government Sales                      1700
John Seo                                               50        240 Government Sales                      1700
Joshua Patel                                           50        240 Government Sales                      1700
Trenna Rajs                                            50        240 Government Sales                      1700
Curtis Davies                                          50        240 Government Sales                      1700
Randall Matos                                          50        240 Government Sales                      1700
Peter Vargas                                           50        240 Government Sales                      1700
John Russell                                           80        240 Government Sales                      1700
Karen Partners                                         80        240 Government Sales                      1700
Alberto Errazuriz                                      80        240 Government Sales                      1700
Gerald Cambrault                                       80        240 Government Sales                      1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Eleni Zlotkey                                          80        240 Government Sales                      1700
Peter Tucker                                           80        240 Government Sales                      1700
David Bernstein                                        80        240 Government Sales                      1700
Peter Hall                                             80        240 Government Sales                      1700
Christopher Olsen                                      80        240 Government Sales                      1700
Nanette Cambrault                                      80        240 Government Sales                      1700
Oliver Tuvault                                         80        240 Government Sales                      1700
Janette King                                           80        240 Government Sales                      1700
Patrick Sully                                          80        240 Government Sales                      1700
Allan McEwen                                           80        240 Government Sales                      1700
Lindsey Smith                                          80        240 Government Sales                      1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Louise Doran                                           80        240 Government Sales                      1700
Sarath Sewall                                          80        240 Government Sales                      1700
Clara Vishney                                          80        240 Government Sales                      1700
Danielle Greene                                        80        240 Government Sales                      1700
Mattea Marvins                                         80        240 Government Sales                      1700
David Lee                                              80        240 Government Sales                      1700
Sundar Ande                                            80        240 Government Sales                      1700
Amit Banda                                             80        240 Government Sales                      1700
Lisa Ozer                                              80        240 Government Sales                      1700
Harrison Bloom                                         80        240 Government Sales                      1700
Tayler Fox                                             80        240 Government Sales                      1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
William Smith                                          80        240 Government Sales                      1700
Elizabeth Bates                                        80        240 Government Sales                      1700
Sundita Kumar                                          80        240 Government Sales                      1700
Ellen Abel                                             80        240 Government Sales                      1700
Alyssa Hutton                                          80        240 Government Sales                      1700
Jonathon Taylor                                        80        240 Government Sales                      1700
Jack Livingston                                        80        240 Government Sales                      1700
Kimberely Grant                                                  240 Government Sales                      1700
Charles Johnson                                        80        240 Government Sales                      1700
Winston Taylor                                         50        240 Government Sales                      1700
Jean Fleaur                                            50        240 Government Sales                      1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Martha Sullivan                                        50        240 Government Sales                      1700
Girard Geoni                                           50        240 Government Sales                      1700
Nandita Sarchand                                       50        240 Government Sales                      1700
Alexis Bull                                            50        240 Government Sales                      1700
Julia Dellinger                                        50        240 Government Sales                      1700
Anthony Cabrio                                         50        240 Government Sales                      1700
Kelly Chung                                            50        240 Government Sales                      1700
Jennifer Dilly                                         50        240 Government Sales                      1700
Timothy Gates                                          50        240 Government Sales                      1700
Randall Perkins                                        50        240 Government Sales                      1700
Sarah Bell                                             50        240 Government Sales                      1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Britney Everett                                        50        240 Government Sales                      1700
Samuel McCain                                          50        240 Government Sales                      1700
Vance Jones                                            50        240 Government Sales                      1700
Alana Walsh                                            50        240 Government Sales                      1700
Kevin Feeney                                           50        240 Government Sales                      1700
Donald OConnell                                        50        250 Retail Sales                          1700
Douglas Grant                                          50        250 Retail Sales                          1700
Jennifer Whalen                                        10        250 Retail Sales                          1700
Michael Hartstein                                      20        250 Retail Sales                          1700
Pat Fay                                                20        250 Retail Sales                          1700
Susan Mavris                                           40        250 Retail Sales                          1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Hermann Baer                                           70        250 Retail Sales                          1700
Shelley Higgins                                       110        250 Retail Sales                          1700
William Gietz                                         110        250 Retail Sales                          1700
Steven King                                            90        250 Retail Sales                          1700
Neena Kochhar                                          90        250 Retail Sales                          1700
Lex De Haan                                            90        250 Retail Sales                          1700
Alexander Hunold                                       60        250 Retail Sales                          1700
Bruce Ernst                                            60        250 Retail Sales                          1700
David Austin                                           60        250 Retail Sales                          1700
Valli Pataballa                                        60        250 Retail Sales                          1700
Diana Lorentz                                          60        250 Retail Sales                          1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Nancy Greenberg                                       100        250 Retail Sales                          1700
Daniel Faviet                                         100        250 Retail Sales                          1700
John Chen                                             100        250 Retail Sales                          1700
Ismael Sciarra                                        100        250 Retail Sales                          1700
Jose Manuel Urman                                     100        250 Retail Sales                          1700
Luis Popp                                             100        250 Retail Sales                          1700
Den Raphaely                                           30        250 Retail Sales                          1700
Alexander Khoo                                         30        250 Retail Sales                          1700
Shelli Baida                                           30        250 Retail Sales                          1700
Sigal Tobias                                           30        250 Retail Sales                          1700
Guy Himuro                                             30        250 Retail Sales                          1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Karen Colmenares                                       30        250 Retail Sales                          1700
Matthew Weiss                                          50        250 Retail Sales                          1700
Adam Fripp                                             50        250 Retail Sales                          1700
Payam Kaufling                                         50        250 Retail Sales                          1700
Shanta Vollman                                         50        250 Retail Sales                          1700
Kevin Mourgos                                          50        250 Retail Sales                          1700
Julia Nayer                                            50        250 Retail Sales                          1700
Irene Mikkilineni                                      50        250 Retail Sales                          1700
James Landry                                           50        250 Retail Sales                          1700
Steven Markle                                          50        250 Retail Sales                          1700
Laura Bissot                                           50        250 Retail Sales                          1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Mozhe Atkinson                                         50        250 Retail Sales                          1700
James Marlow                                           50        250 Retail Sales                          1700
TJ Olson                                               50        250 Retail Sales                          1700
Jason Mallin                                           50        250 Retail Sales                          1700
Michael Rogers                                         50        250 Retail Sales                          1700
Ki Gee                                                 50        250 Retail Sales                          1700
Hazel Philtanker                                       50        250 Retail Sales                          1700
Renske Ladwig                                          50        250 Retail Sales                          1700
Stephen Stiles                                         50        250 Retail Sales                          1700
John Seo                                               50        250 Retail Sales                          1700
Joshua Patel                                           50        250 Retail Sales                          1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Trenna Rajs                                            50        250 Retail Sales                          1700
Curtis Davies                                          50        250 Retail Sales                          1700
Randall Matos                                          50        250 Retail Sales                          1700
Peter Vargas                                           50        250 Retail Sales                          1700
John Russell                                           80        250 Retail Sales                          1700
Karen Partners                                         80        250 Retail Sales                          1700
Alberto Errazuriz                                      80        250 Retail Sales                          1700
Gerald Cambrault                                       80        250 Retail Sales                          1700
Eleni Zlotkey                                          80        250 Retail Sales                          1700
Peter Tucker                                           80        250 Retail Sales                          1700
David Bernstein                                        80        250 Retail Sales                          1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Peter Hall                                             80        250 Retail Sales                          1700
Christopher Olsen                                      80        250 Retail Sales                          1700
Nanette Cambrault                                      80        250 Retail Sales                          1700
Oliver Tuvault                                         80        250 Retail Sales                          1700
Janette King                                           80        250 Retail Sales                          1700
Patrick Sully                                          80        250 Retail Sales                          1700
Allan McEwen                                           80        250 Retail Sales                          1700
Lindsey Smith                                          80        250 Retail Sales                          1700
Louise Doran                                           80        250 Retail Sales                          1700
Sarath Sewall                                          80        250 Retail Sales                          1700
Clara Vishney                                          80        250 Retail Sales                          1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Danielle Greene                                        80        250 Retail Sales                          1700
Mattea Marvins                                         80        250 Retail Sales                          1700
David Lee                                              80        250 Retail Sales                          1700
Sundar Ande                                            80        250 Retail Sales                          1700
Amit Banda                                             80        250 Retail Sales                          1700
Lisa Ozer                                              80        250 Retail Sales                          1700
Harrison Bloom                                         80        250 Retail Sales                          1700
Tayler Fox                                             80        250 Retail Sales                          1700
William Smith                                          80        250 Retail Sales                          1700
Elizabeth Bates                                        80        250 Retail Sales                          1700
Sundita Kumar                                          80        250 Retail Sales                          1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Ellen Abel                                             80        250 Retail Sales                          1700
Alyssa Hutton                                          80        250 Retail Sales                          1700
Jonathon Taylor                                        80        250 Retail Sales                          1700
Jack Livingston                                        80        250 Retail Sales                          1700
Kimberely Grant                                                  250 Retail Sales                          1700
Charles Johnson                                        80        250 Retail Sales                          1700
Winston Taylor                                         50        250 Retail Sales                          1700
Jean Fleaur                                            50        250 Retail Sales                          1700
Martha Sullivan                                        50        250 Retail Sales                          1700
Girard Geoni                                           50        250 Retail Sales                          1700
Nandita Sarchand                                       50        250 Retail Sales                          1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Alexis Bull                                            50        250 Retail Sales                          1700
Julia Dellinger                                        50        250 Retail Sales                          1700
Anthony Cabrio                                         50        250 Retail Sales                          1700
Kelly Chung                                            50        250 Retail Sales                          1700
Jennifer Dilly                                         50        250 Retail Sales                          1700
Timothy Gates                                          50        250 Retail Sales                          1700
Randall Perkins                                        50        250 Retail Sales                          1700
Sarah Bell                                             50        250 Retail Sales                          1700
Britney Everett                                        50        250 Retail Sales                          1700
Samuel McCain                                          50        250 Retail Sales                          1700
Vance Jones                                            50        250 Retail Sales                          1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
